Difficulty points,Length,Average gradient,Steepest 100 metres,Total ascent,Country,Region,name,url
854.0,12.8 km,7.5%,14.1%,958 m,France,Bourg d'Oisans,Col de Sarenne,https://climbfinder.com/en/climbs/col-de-sarenne-lac-du-chambon
25.0,0.9 km,5%,8%,44 m,Netherlands,Arnhem,Italiaanseweg,https://climbfinder.com/en/climbs/italiaanseweg
1124.0,18.3 km,7.7%,11.7%,1401 m,France,Hautes-Pyrénées,Col du Tourmalet from Luz Saint Sauveur via Voie Laurent Fignon,https://climbfinder.com/en/climbs/col-du-tourmalet-luz-saint-sauveur
1961.0,18.5 km,9.2%,17.1%,1709 m,Italy,Turin,Colle delle Finestre,https://climbfinder.com/en/climbs/colle-delle-finestre
645.0,9.7 km,7.9%,11%,770 m,France,Upper Rhine,Col du Petit Ballon,https://climbfinder.com/en/climbs/petit-ballon-munster
1034.0,20.7 km,6.6%,12%,1371 m,France,Briançon,Col Agnel from Château-Ville-Vieille,https://climbfinder.com/en/climbs/col-agnel
57.0,0.6 km,8.3%,16.4%,50 m,Belgium,Druivenstreek,Smeysberg,https://climbfinder.com/en/climbs/smeysberg
511.0,9.4 km,6%,14.7%,567 m,Italy,Como,Madonna del Ghisallo / Colle del Ghisallo,https://climbfinder.com/en/climbs/ghisallo
77.0,1.1 km,7.4%,16%,79 m,Netherlands,South Limburg,Loorberg via Kersenpad,https://climbfinder.com/en/climbs/kersenpad
925.0,13.2 km,7%,12.6%,923 m,Alps,Tessin,Passo San Gottardo / Tremolapass,https://climbfinder.com/en/climbs/gotthardpass-airolo
612.0,10 km,7.1%,13.9%,707 m,France,Upper Rhine,Col du Platzerwasel from Metzeral,https://climbfinder.com/en/climbs/col-de-platzerwasel
986.0,13 km,7.7%,13.2%,1000 m,France,Bourg d'Oisans,Col du Solude from Le Bourg d'Oisans via Villard Notre Dame,https://climbfinder.com/en/climbs/col-du-solude-villard-notre-dame
1161.0,28.1 km,5.5%,9.9%,1543 m,France,Bourg d'Oisans,Col de la Croix-de-Fer from Saint-Jean-de-Maurienne via Saint-Jean-d'Arves,https://climbfinder.com/en/climbs/col-de-la-croix-de-fer
1434.0,47.1 km,4.5%,13.1%,2138 m,Italy,Turin,Colle del Nivolet,https://climbfinder.com/en/climbs/colle-del-nivolet
854.0,19.2 km,6.1%,11.6%,1178 m,France,Briançon,Col d'Izoard from Briançon,https://climbfinder.com/en/climbs/col-d-izoard-briancon
34.0,2.2 km,3%,8.9%,65 m,Netherlands,Veluwezoom,Posbank,https://climbfinder.com/en/climbs/posbank
827.0,13.6 km,7.6%,12.2%,1031 m,France,Hautes-Pyrénées,Luz Ardiden,https://climbfinder.com/en/climbs/luz-ardiden
211.0,1.2 km,12.7%,17.6%,154 m,Belgium,High Fens & East Cantons,Ferme Libert,https://climbfinder.com/en/climbs/ferme-libert
45.0,1.6 km,5%,6.3%,80 m,Netherlands,South Limburg,Loorberg,https://climbfinder.com/en/climbs/loorberg
37.0,1.7 km,4%,8.5%,66 m,Netherlands,South Limburg,Fromberg,https://climbfinder.com/en/climbs/fromberg
482.0,18 km,4.1%,11.4%,737 m,France,Haute-Saône,Ballon de Servance from Plancher-Bas,https://climbfinder.com/en/climbs/ballon-de-servance-plancher-bas
1235.0,25.9 km,6.2%,11.4%,1609 m,France,Savoie,Col de la Madeleine from Feissons-sur-Isère,https://climbfinder.com/en/climbs/col-de-la-madeleine-feissons-sur-isere
155.0,1 km,11.6%,18.6%,118 m,Belgium,Pays de Herve,Rue Tesny,https://climbfinder.com/en/climbs/tesny
1764.0,9.8 km,12.3%,23.3%,1206 m,Italy,Udine,Monte Zoncolan,https://climbfinder.com/en/climbs/monte-zoncolan-ovaro
710.0,18.7 km,5.7%,9.4%,1072 m,France,Upper Rhine,Col du Grand Ballon from Soultz,https://climbfinder.com/en/climbs/grand-ballon-soultz
468.0,9 km,6.9%,13.8%,621 m,France,Vosges,Ballon d’Alsace,https://climbfinder.com/en/climbs/ballon-d-alsace-saint-maurice-sur-moselle
341.0,17.4 km,4.3%,6%,752 m,France,Upper Rhine,Col de la Schlucht,https://climbfinder.com/en/climbs/col-de-la-schlucht-munster
57.0,1 km,5.9%,15.8%,60 m,Netherlands,South Limburg,Gulperberg from Gulpen,https://climbfinder.com/en/climbs/gulperberg
197.0,2.1 km,8.5%,15.2%,182 m,Belgium,"Valleys of the Vesdre, de l'Amblève et de l'Ourthe",Sur Steppes,https://climbfinder.com/en/climbs/sur-steppes
103.0,2.6 km,5.4%,12.8%,141 m,Belgium,Pays de Herve,Les Waides,https://climbfinder.com/en/climbs/les-waides
885.0,11.6 km,8.6%,12.6%,990 m,France,Haute Savoie,Col de Joux Plane,https://climbfinder.com/en/climbs/col-de-joux-plane-samoens
68.0,1.4 km,5%,10%,68 m,Belgium,Denderland,Bosberg,https://climbfinder.com/en/climbs/bosberg
634.0,27 km,4.4%,9.2%,1198 m,France,Serre Ponçon,Col de la Cayolle from Barcelonnette,https://climbfinder.com/en/climbs/col-de-la-cayolle-barcelonnette
478.0,9.4 km,5.8%,17.2%,543 m,France,Haute-Saône,Col des Chevrères from Rexelaxert via Miellin,https://climbfinder.com/en/climbs/col-des-chevreres
42.0,0.8 km,6.7%,10.2%,54 m,Belgium,Haspengouw,Slingerberg / Zusserdel,https://climbfinder.com/en/climbs/zusserdel
1583.0,48.4 km,5.1%,9.5%,2460 m,Spain,Tenerife,El Teide,https://climbfinder.com/en/climbs/el-teide
1055.0,32.2 km,4.5%,10.6%,1451 m,France,La Maurienne,Col de l'Iséran from Lanslebourg,https://climbfinder.com/en/climbs/col-de-l-iseran-lanslebourg
506.0,13.6 km,5.7%,9.4%,778 m,France,Annecy,Semnoz from Col de Leschaux,https://climbfinder.com/en/climbs/semnoz-col-de-leschaux
40.0,2.4 km,3.5%,8.7%,83 m,Netherlands,Veluwezoom,Zijpenberg via Snippendaalseweg,https://climbfinder.com/en/climbs/zijpenberg-rheden
60.0,1.8 km,5.2%,9.8%,95 m,Belgium,Voer-Region,Op de Eiken,https://climbfinder.com/en/climbs/op-de-eiken
233.0,3.4 km,8.1%,10.7%,277 m,France,La Maurienne,Lacets de Montvernier,https://climbfinder.com/en/climbs/lacets-de-montvernier
26.0,0.9 km,4.9%,7.4%,46 m,Netherlands,South Limburg,Bemelerberg,https://climbfinder.com/en/climbs/bemelerberg
1180.0,16.1 km,7.8%,16.3%,1260 m,Alps,Bern,Grosse Scheidegg from Meiringen,https://climbfinder.com/en/climbs/grosse-scheidegg-meiringen
803.0,19.3 km,6%,9.4%,1155 m,France,Savoie,Cormet de Roselend from Bourg-Saint-Maurice,https://climbfinder.com/en/climbs/cormet-de-roselend-bourg-saint-maurice
696.0,14.4 km,6%,13.6%,861 m,France,Upper Rhine,Col du Petit Ballon from Whir au Val,https://climbfinder.com/en/climbs/petit-ballon-whir-au-val
60.0,3 km,3.8%,9.2%,114 m,Netherlands,South Limburg,Schweiberg from Mechelen,https://climbfinder.com/en/climbs/schweiberg
535.0,12.1 km,6.5%,9.8%,786 m,Italy,Dolomites,Passo Pordoi,https://climbfinder.com/en/climbs/passo-pordoi-canazei
963.0,29.7 km,4.7%,9.4%,1409 m,France,Hautes-Pyrénées,Col d'Aubisque from Argelès Gazost via Col du Soulor,https://climbfinder.com/en/climbs/col-d-aubisque
1065.0,26.6 km,5.2%,11.9%,1379 m,France,Bourg d'Oisans,Col du Glandon from Barrage du Verney / Allemont,https://climbfinder.com/en/climbs/col-du-glandon-barrage-du-verney
119.0,18.2 km,2.3%,3.8%,423 m,France,Vaucluse,Gorges de la Nesque from Villes-sur-Auzon,https://climbfinder.com/en/climbs/gorges-de-la-nesque-villes-sur-auzon
162.0,6.8 km,4.7%,7.1%,318 m,Belgium,"Valleys of the Vesdre, de l'Amblève et de l'Ourthe",Col du Rosier from Spa,https://climbfinder.com/en/climbs/rosier-nord
41.0,0.4 km,10.2%,11.3%,40 m,Netherlands,Rijk van Nijmegen,Beekmansdalseweg,https://climbfinder.com/en/climbs/beekmansdalseweg
2124.0,9.2 km,13%,35.9%,1196 m,Italy,Trento,Scanuppia / Malga Palazzo,https://climbfinder.com/en/climbs/scanuppia-malga-palazzo
589.0,12.4 km,6.5%,12.4%,802 m,France,Hautes-Pyrénées,Col d'Aspin,https://climbfinder.com/en/climbs/col-d-aspin
901.0,12.8 km,7.5%,13.3%,962 m,France,Upper Rhine,Col du Grand Ballon from Saint-Amarin,https://climbfinder.com/en/climbs/col-du-grand-ballon-saint-amarin
53.0,4.1 km,2.8%,7.4%,117 m,Netherlands,Veluwezoom,Zijpenberg from Rozendaal,https://climbfinder.com/en/climbs/zijpenberg-rozendaal
193.0,1.4 km,10.6%,16.4%,151 m,Belgium,"Valleys of the Meuse, Sambre and Orneau",Thier de Huy,https://climbfinder.com/en/climbs/thier-de-huy
49.0,1.7 km,5.1%,7.9%,86 m,Belgium,Voer-Region,De Plank from Sint-Pieters-Voeren,https://climbfinder.com/en/climbs/planck
996.0,12.8 km,7.8%,15.8%,1002 m,Italy,Belluno,Passo Fedaia,https://climbfinder.com/en/climbs/passo-fedaia-caprille
1416.0,31.6 km,5.7%,12.7%,1789 m,Italy,Cuneo,Colle dell'Agnello,https://climbfinder.com/en/climbs/colle-dell-agnello-casteldelfino
47.0,0.4 km,7.7%,11.2%,33 m,Belgium,Flemish Ardennes,Molenberg,https://climbfinder.com/en/climbs/molenberg
1455.0,38.6 km,4.9%,13.1%,1898 m,Alps,Tyrol,Kaunertaler Gletscherstrasse from Prutz,https://climbfinder.com/en/climbs/kaunertaler-gletscherstrasse-prutz
251.0,8 km,4.2%,11.5%,335 m,France,Bourg d'Oisans,Col de Sarenne from Alpe d'Huez,https://climbfinder.com/en/climbs/col-de-sarenne-alpe-d-huez
59.0,0.8 km,8.1%,11.9%,67 m,Belgium,Haspengouw,Hallembaye,https://climbfinder.com/en/climbs/hallembaye
664.0,6.4 km,9.5%,18.5%,605 m,France,Bourg d'Oisans,Oulles,https://climbfinder.com/en/climbs/oulles
39.0,1.5 km,5.1%,6.7%,74 m,Belgium,Voer-Region,Gieveld,https://climbfinder.com/en/climbs/gieveld
1321.0,19.6 km,7.8%,14.4%,1525 m,France,La Maurienne,Col de la Madeleine from La Chambre via Montgellafrey,https://climbfinder.com/en/climbs/col-de-la-madeleine-la-chambre-montgellafrey
186.0,3.6 km,6.1%,12.4%,222 m,Belgium,Haute Ardenne,Côte de Wanne,https://climbfinder.com/en/climbs/cote-de-wanne
39.0,1.1 km,5.4%,8%,62 m,Netherlands,South Limburg,Geulhemmerberg,https://climbfinder.com/en/climbs/geulhemmerberg
457.0,9.7 km,6.5%,15.2%,624 m,France,Upper Rhine,Col du Petit Ballon from Sondernach,https://climbfinder.com/en/climbs/petit-ballon-sondernach
25.0,1.5 km,3.4%,7.7%,52 m,Netherlands,Veluwezoom,Rozenbos / Holleweg,https://climbfinder.com/en/climbs/holleweg-veluwezoom
126.0,5.1 km,4.6%,7.7%,236 m,Belgium,Haute Ardenne,Côte d'Aisomont,https://climbfinder.com/en/climbs/aisomont
98.0,3 km,5.5%,7.6%,167 m,Belgium,Pays de Herve,Côte de Forêt,https://climbfinder.com/en/climbs/cote-de-foret
444.0,1.8 km,15.5%,21.7%,273 m,Italy,Como,Muro di Sormano,https://climbfinder.com/en/climbs/muro-di-sormano-colma
1235.0,19.3 km,7.9%,11.2%,1522 m,France,La Maurienne,Col de la Madeleine,https://climbfinder.com/en/climbs/col-de-la-madeleine-la-chambre
26.0,1.3 km,4.1%,6.2%,54 m,Netherlands,Utrecht Hill Ridge,Amerongse Berg from Overberg,https://climbfinder.com/en/climbs/amerongse-berg
429.0,9.1 km,6.6%,11.9%,600 m,Italy,Dolomites,Passo Gardena,https://climbfinder.com/en/climbs/passo-di-gardena-corvara
110.0,0.8 km,9.1%,17.4%,69 m,Belgium,West-Flemish Hills,Mont Kemmel,https://climbfinder.com/en/climbs/mont-kemmel-west
675.0,15.8 km,6.1%,9.4%,972 m,France,Upper Rhine,Col du Grand Ballon from Willer-sur-Thur,https://climbfinder.com/en/climbs/grand-ballon-willer-sur-thur
1022.0,29.4 km,5.2%,11.6%,1525 m,France,Hautes-Pyrénées,Col de Tentes from Luz Saint Sauveur via Cirque de Gavarnie,https://climbfinder.com/en/climbs/col-de-tentes-gavarnie
1111.0,18.9 km,7.4%,14.1%,1403 m,France,Hautes-Pyrénées,Col du Tourmalet from Luz Saint Sauveur via Super Barèges,https://climbfinder.com/en/climbs/col-du-tourmalet-luz-saint-sauveur-super-bareges
990.0,19.9 km,6.3%,14.5%,1247 m,Italy,Verbano-Cusio-Ossola,Mottarone from Stresa,https://climbfinder.com/en/climbs/mottarone-stresa
74.0,3.4 km,3.8%,9.5%,131 m,Belgium,Pays de Herve,Rue de Beusdael from Sippenaeken,https://climbfinder.com/en/climbs/rue-de-beusdael
511.0,10.2 km,7%,9.7%,708 m,Spain,Serra de Tramuntana,Sa Calobra / Coll dels Reis,https://climbfinder.com/en/climbs/sa-calobra-port-de-sa-calobra
1028.0,13.7 km,8.3%,11.6%,1132 m,Alps,Valais,Nufenenpass,https://climbfinder.com/en/climbs/nufenenpass-ulrichen
1316.0,44.5 km,4.6%,10.5%,2056 m,Spain,Gran Canaria,Pico de las Nieves,https://climbfinder.com/en/climbs/pico-de-las-nieves-maspalomas
146.0,1 km,10.1%,15.8%,103 m,Belgium,Flemish Ardennes,Fiertelmeers,https://climbfinder.com/en/climbs/fiertelmeers
34.0,1.2 km,4.9%,8.4%,59 m,Belgium,Pajottenland,Congoberg,https://climbfinder.com/en/climbs/congoberg
79.0,0.8 km,6.4%,14.7%,49 m,Belgium,Flemish Ardennes,Taaienberg,https://climbfinder.com/en/climbs/taaienberg
463.0,9.3 km,6.9%,10.6%,643 m,Italy,Belluno,Passo Pordoi from Arabba,https://climbfinder.com/en/climbs/passo-pordoi-arabba
446.0,19.5 km,4.4%,8.6%,862 m,France,Vercors,Col de Rousset from Die,https://climbfinder.com/en/climbs/col-de-rousset-die
698.0,17.7 km,5.8%,9.6%,1037 m,France,Bourg d'Oisans,Col du Mollard,https://climbfinder.com/en/climbs/col-du-mollard-villargondran
722.0,12.2 km,7.3%,11.7%,891 m,Alps,Uri,Furkapass from Realp,https://climbfinder.com/en/climbs/furkapass-realp
885.0,16.2 km,6.8%,15.4%,1111 m,France,Haute Savoie,Col de la Colombière,https://climbfinder.com/en/climbs/col-de-la-colombiere-scionzier
280.0,2.7 km,7.3%,23.9%,195 m,Belgium,Heart of the Ardennes,Pied Monti,https://climbfinder.com/en/climbs/pied-monti
64.0,0.7 km,9.6%,12.1%,64 m,Netherlands,South Limburg,Brakkeberg via Vogelzangweg,https://climbfinder.com/en/climbs/brakkeberg
170.0,1.4 km,10.7%,18.9%,149 m,Belgium,Pays de Herve,Drolenval,https://climbfinder.com/en/climbs/drolenval
500.0,7.6 km,7.6%,14.8%,577 m,France,Bourg d'Oisans,Oz en Oisans from Barrage du Verney,https://climbfinder.com/en/climbs/col-d-oz
76.0,1 km,7.8%,15.5%,77 m,Belgium,Pays de Herve,Berg la Clouse,https://climbfinder.com/en/climbs/berg-la-clouse
179.0,1.3 km,11.3%,17.8%,149 m,Belgium,"Valleys of the Vesdre, de l'Amblève et de l'Ourthe",Voie des Chars,https://climbfinder.com/en/climbs/voie-des-chars
891.0,20.3 km,6.2%,9%,1251 m,France,Savoie,Cormet de Roselend from Beaufort,https://climbfinder.com/en/climbs/cormet-de-roselend
873.0,12.2 km,7.9%,15.2%,964 m,France,Savoie,Col du Pré from Beaufort,https://climbfinder.com/en/climbs/col-du-pre-beaufort
1065.0,26.3 km,5.8%,10.4%,1534 m,Alps,Bern,Grimselpass from Innertkirchen,https://climbfinder.com/en/climbs/grimselpass-innertkirchen
269.0,4.9 km,6.5%,12.6%,320 m,France,French Ardennes,Côte du Malgré-Tout,https://climbfinder.com/en/climbs/cote-du-malgre-tout
651.0,29.8 km,4.6%,6%,1378 m,France,Savoie,Col du Petit Saint-Bernard from Bourg Saint Maurice,https://climbfinder.com/en/climbs/col-du-petit-saint-bernard-bourg-saint-maurice-route-de-petit-saint-bernard
533.0,13.2 km,5.4%,13.4%,720 m,France,Briançon,Pré de Madame Carle from Vallouise,https://climbfinder.com/en/climbs/pre-de-madame-carle
36.0,1.8 km,4.1%,7.5%,73 m,Netherlands,South Limburg,Sibbergrubbe from Valkenburg,https://climbfinder.com/en/climbs/sibbergrubbe
52.0,0.9 km,6.9%,12.2%,65 m,Netherlands,South Limburg,Schilberg from Slenaken,https://climbfinder.com/en/climbs/schilberg
84.0,2.1 km,5.1%,12.8%,109 m,Belgium,Voer-Region,Schophemerheide from 's Gravenvoeren,https://climbfinder.com/en/climbs/schophemerheide
106.0,3 km,5.5%,10.5%,166 m,Belgium,"Valleys of the Vesdre, de l'Amblève et de l'Ourthe",Côte de Xhierfomont,https://climbfinder.com/en/climbs/xhierfomont
156.0,13.1 km,2.8%,9.1%,369 m,Belgium,High Fens & East Cantons,Mützenich from Eupen via Wesertalsperre,https://climbfinder.com/en/climbs/mutzenich-eupen-wesertalsperre
851.0,18.9 km,5.9%,14.4%,1115 m,France,Briançon,Col de Vars,https://climbfinder.com/en/climbs/col-de-vars-guillestre
1273.0,16.1 km,8.7%,12.5%,1395 m,France,Hautes-Pyrénées,Col de Portet from Saint Lary Soulan,https://climbfinder.com/en/climbs/col-portet-saint-lary-soulan
469.0,24.7 km,3.6%,8.9%,877 m,France,Upper Rhine,Col du Grand Ballon from Kruth,https://climbfinder.com/en/climbs/grand-ballon-kruth
130.0,0.9 km,11.2%,16.5%,105 m,Belgium,Heart of the Ardennes,Saint-Roch,https://climbfinder.com/en/climbs/saint-roch
790.0,16.9 km,6.5%,11.8%,1105 m,France,Serre Ponçon,Col d'Allos from Barcelonnette,https://climbfinder.com/en/climbs/col-d-allos
100.0,4.5 km,3.9%,8.3%,173 m,Netherlands,South Limburg,Camerig via Groenenweg,https://climbfinder.com/en/climbs/camerig-groenenweg
222.0,3.9 km,7%,12%,271 m,Belgium,Heart of the Ardennes,Col de Haussire South,https://climbfinder.com/en/climbs/haussire-south
53.0,1.2 km,6.4%,10.4%,75 m,Netherlands,Rijk van Nijmegen,Muur van Beek / Van Randwijckweg from Beek,https://climbfinder.com/en/climbs/van-randwijckweg
23.0,2.5 km,2.8%,4.8%,69 m,Netherlands,Rijk van Nijmegen,Oude Kleefsebaan from Wyler,https://climbfinder.com/en/climbs/oude-kleefsebaan
49.0,1 km,5.3%,13.6%,55 m,Netherlands,South Limburg,Piemert,https://climbfinder.com/en/climbs/piemert
1432.0,22.5 km,7.6%,15.7%,1717 m,France,Savoie,Col de la Loze,https://climbfinder.com/en/climbs/col-de-la-loze-brides-les-bains
39.0,1 km,5%,10.9%,53 m,Belgium,Hageland,Grasbos / Poggio van Diest,https://climbfinder.com/en/climbs/grasbos-poggio-diest
949.0,27.1 km,5.2%,10.7%,1405 m,France,Hautes-Pyrénées,Cirque de Troumouse from Luz-Saint Sauveur,https://climbfinder.com/en/climbs/cirque-de-troumouse-luz-saint-sauveur
521.0,5.2 km,9.7%,16.1%,507 m,France,Serre Ponçon,Col de Pontis,https://climbfinder.com/en/climbs/col-de-pontis-ubaye
27.0,0.6 km,6.3%,8.8%,39 m,Netherlands,Veluwezoom,Emmapiramide,https://climbfinder.com/en/climbs/emmapiramide
